"","UF","NU_ANO","NÍVEL_ENSINO","casos_total","prop_F","prop_M","casos_F","casos_M","prop_igno","prop_indef","prop_pard","prop_ama","prop_pret","prop_bran","casos_igno","casos_indef","casos_pard","casos_ama","casos_pret","casos_bran"
"151","MA",2022,"EDUCAÇÃO DE JOVENS E ADULTOS - EJA",2,0.5,0.5,1,1,0,0,0,0,1,0,0,0,0,0,2,0
"152","MA",2022,"ENSINO FUNDAMENTAL",1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
"153","MA",2023,"ENSINO FUNDAMENTAL",1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0
"154","MA",2023,"Indefinido",2,1,0,2,0,0,0,0,0,1,0,0,0,0,0,2,0
"155","MA",2024,"ENSINO FUNDAMENTAL",1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
"156","MA",2024,"Indefinido",2,1,0,2,0,0,0,1,0,0,0,0,0,2,0,0,0
"157","MA",2025,"EDUCAÇÃO INFANTIL",1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
"158","MA",2025,"Indefinido",1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
"159","MG",2013,"EDUCAÇÃO DE JOVENS E ADULTOS - EJA",2,1,0,2,0,0.5,0,0.5,0,0,0,1,0,1,0,0,0
"160","MG",2013,"ENSINO FUNDAMENTAL",1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
"161","MG",2013,"ENSINO MÉDIO",2,0.5,0.5,1,1,0.5,0,0,0,0,0.5,1,0,0,0,0,1
"162","MG",2013,"Indefinido",1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
"163","MG",2014,"EDUCAÇÃO DE JOVENS E ADULTOS - EJA",4,0.75,0.25,3,1,0,0,0.25,0.25,0.25,0.25,0,0,1,1,1,1
"164","MG",2014,"EDUCAÇÃO INFANTIL",2,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,2
"165","MG",2014,"ENSINO FUNDAMENTAL",5,1,0,5,0,0,0,0,0,0.2,0.8,0,0,0,0,1,4
"166","MG",2014,"ENSINO MÉDIO",1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
"167","MG",2014,"Indefinido",1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
"168","MG",2015,"EDUCAÇÃO DE JOVENS E ADULTOS - EJA",3,1,0,3,0,0.333333333333333,0,0,0,0,0.666666666666667,1,0,0,0,0,2
"169","MG",2015,"ENSINO FUNDAMENTAL",1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
"170","MG",2015,"ENSINO MÉDIO",1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
"171","MG",2016,"EDUCAÇÃO DE JOVENS E ADULTOS - EJA",2,1,0,2,0,0,0,0,0,0.5,0.5,0,0,0,0,1,1
"172","MG",2016,"EDUCAÇÃO INFANTIL",1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
"173","MG",2016,"Indefinido",1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
"174","MG",2017,"EDUCAÇÃO DE JOVENS E ADULTOS - EJA",17,0.882352941176471,0.117647058823529,15,2,0,0,0.411764705882353,0,0.117647058823529,0.470588235294118,0,0,7,0,2,8
"175","MG",2017,"EDUCAÇÃO INFANTIL",6,0.833333333333333,0.166666666666667,5,1,0,0,0.333333333333333,0,0,0.666666666666667,0,0,2,0,0,4
"176","MG",2017,"ENSINO FUNDAMENTAL",8,0.875,0.125,7,1,0,0,0.125,0,0.125,0.75,0,0,1,0,1,6
"177","MG",2017,"ENSINO MÉDIO",2,0.5,0.5,1,1,0,0,0,0,0.5,0.5,0,0,0,0,1,1
"178","MG",2017,"Indefinido",2,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,2
"179","MG",2018,"EDUCAÇÃO DE JOVENS E ADULTOS - EJA",43,0.976744186046512,0.0232558139534884,42,1,0,0,0.906976744186046,0.0232558139534884,0,0.0697674418604651,0,0,39,1,0,3
"180","MG",2018,"EDUCAÇÃO INFANTIL",2,1,0,2,0,0,0,0.5,0,0,0.5,0,0,1,0,0,1
"181","MG",2018,"ENSINO FUNDAMENTAL",13,1,0,13,0,0,0,0.307692307692308,0,0,0.692307692307692,0,0,4,0,0,9
"182","MG",2018,"ENSINO MÉDIO",2,1,0,2,0,0,0,0.5,0,0,0.5,0,0,1,0,0,1
"183","MG",2018,"Indefinido",2,1,0,2,0,0,0,1,0,0,0,0,0,2,0,0,0
"184","MG",2019,"EDUCAÇÃO DE JOVENS E ADULTOS - EJA",24,0.958333333333333,0.0416666666666667,23,1,0,0,0.75,0,0,0.25,0,0,18,0,0,6
"185","MG",2019,"EDUCAÇÃO INFANTIL",8,1,0,8,0,0,0,0.5,0,0,0.5,0,0,4,0,0,4
"186","MG",2019,"ENSINO FUNDAMENTAL",10,1,0,10,0,0,0,0.1,0,0.1,0.8,0,0,1,0,1,8
"187","MG",2019,"ENSINO MÉDIO",2,1,0,2,0,0,0,0.5,0,0,0.5,0,0,1,0,0,1
"188","MG",2020,"EDUCAÇÃO DE JOVENS E ADULTOS - EJA",1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
"189","MG",2020,"EDUCAÇÃO PROFISSIONALIZANTE",1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0
"190","MG",2021,"EDUCAÇÃO INFANTIL",1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
"191","MG",2021,"ENSINO FUNDAMENTAL",3,1,0,3,0,0,0,0,0,0,1,0,0,0,0,0,3
"192","MG",2022,"EDUCAÇÃO DE JOVENS E ADULTOS - EJA",9,1,0,9,0,0.111111111111111,0,0.111111111111111,0,0,0.777777777777778,1,0,1,0,0,7
"193","MG",2022,"EDUCAÇÃO INFANTIL",11,1,0,11,0,0.363636363636364,0,0.454545454545455,0,0,0.181818181818182,4,0,5,0,0,2
"194","MG",2022,"ENSINO FUNDAMENTAL",16,0.8125,0.1875,13,3,0.5,0,0.125,0,0,0.375,8,0,2,0,0,6
"195","MG",2022,"ENSINO MÉDIO",1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
"196","MG",2022,"Indefinido",5,0.8,0.2,4,1,0.8,0,0.2,0,0,0,4,0,1,0,0,0
"197","MG",2023,"EDUCAÇÃO DE JOVENS E ADULTOS - EJA",2,0.5,0.5,1,1,0,0,0.5,0,0.5,0,0,0,1,0,1,0
"198","MG",2023,"EDUCAÇÃO INFANTIL",8,1,0,8,0,0,0,0.5,0,0.375,0.125,0,0,4,0,3,1
"199","MG",2023,"ENSINO FUNDAMENTAL",10,0.9,0.1,9,1,0,0,0.6,0,0.1,0.3,0,0,6,0,1,3
"200","MG",2023,"ENSINO MÉDIO",3,0.666666666666667,0.333333333333333,2,1,0,0,0.333333333333333,0,0.333333333333333,0.333333333333333,0,0,1,0,1,1
"201","MG",2023,"Indefinido",16,0.75,0.25,12,4,0,0,0.5,0.0625,0.0625,0.375,0,0,8,1,1,6
"202","MG",2024,"EDUCAÇÃO DE JOVENS E ADULTOS - EJA",7,0.857142857142857,0.142857142857143,6,1,0.285714285714286,0,0.428571428571429,0,0.142857142857143,0.142857142857143,2,0,3,0,1,1
"203","MG",2024,"EDUCAÇÃO INFANTIL",3,1,0,3,0,0,0,0.333333333333333,0,0.333333333333333,0.333333333333333,0,0,1,0,1,1
